Id;Start time;Completion time;Email;Name;Marca de 1 a 5 según estés completamente de acuerdo con la afirmación (5) o, no estes para nada de acuerdo (1) .Considero que tengo un nivel de conocimiento en Machine Learning avanzado;Marca de 1 a 5 según estés completamente de acuerdo con la afirmación (5) o, no estes para nada de acuerdo (1) .Tengo alto interés en aprender Machine Learning aplicado al Marketing;Marca de 1 a 5 según estés completamente de acuerdo con la afirmación (5) o, no estes para nada de acuerdo (1) .Tengo alto interés en aprender Machine learning aplicado (a otras ramas diferentes al ma;Marca de 1 a 5 según estés completamente de acuerdo con la afirmación (5) o, no estes para nada de acuerdo (1) .Considero muy útil para mi vida profesional un curso de Machine Learning;Marca de 1 a 5 según estés completamente de acuerdo con la afirmación (5) o, no estes para nada de acuerdo (1) .Me siento muy cómodo con el aprendizaje en línea (virtual);Marca de 1 a 5 según estés completamente de acuerdo con la afirmación (5) o, no estes para nada de acuerdo (1) .Es muy probable que me inscriba a un curso de Machine Learning en el futuro si lo encuen;Marca de 1 a 5 según estés completamente de acuerdo con la afirmación (5) o, no estes para nada de acuerdo (1) .Tengo experiencia en conceptos y librerías de programación de Python;Si tienes interés en otra rama del Machine Learning aplicado (diferentes al marketing), por favor indicanos en que tema te gustaría que tuvera énfasis un curso de Machine Learning aplicado;Cuál es tu objetivo principal para tomar un curso de Machine Learning;Si respondiste otro en la pregunta 3, por favor indicanos cuál sería su objetivo principal para tomar un curso de Machine Learning;Por favor indicanos el orden de preferencia que tendría para ti las siguientes opciones de soporte durante el curso: ;Indica tu nivel de escolaridad
1;31/10/24 20:41;31/10/24 20:43;anonymous;;1 (En total desacuerdo);5 (Totalmente de acuerdo);4 (de acuerdo);5 (Totalmente de acuerdo);5 (Totalmente de acuerdo);5 (Totalmente de acuerdo);1 (En total desacuerdo);Ventas;Mejorar habilidades en su trabajo actual;;"Recursos adicionales;Tutores disponibles;Foros de discusión;";Profesional
2;31/10/24 20:41;31/10/24 20:43;anonymous;;4 (de acuerdo);5 (Totalmente de acuerdo);3 (Ni de acuerdo ni en desacuerdo);5 (Totalmente de acuerdo);5 (Totalmente de acuerdo);5 (Totalmente de acuerdo);4 (de acuerdo);;Aplicar Machine Learning a proyecto personal;Predicción;"Tutores disponibles;Recursos adicionales;Foros de discusión;";Maestría
3;31/10/24 20:41;31/10/24 20:43;anonymous;;2 (En desacuerdo);4 (de acuerdo);3 (Ni de acuerdo ni en desacuerdo);4 (de acuerdo);4 (de acuerdo);4 (de acuerdo);1 (En total desacuerdo);Data storytelling;Cambiar de carrera;;"Recursos adicionales;Tutores disponibles;Foros de discusión;";Profesional
4;31/10/24 20:41;31/10/24 20:44;anonymous;;3 (Ni de acuerdo ni en desacuerdo);5 (Totalmente de acuerdo);4 (de acuerdo);4 (de acuerdo);4 (de acuerdo);4 (de acuerdo);2 (En desacuerdo);Finanzas;Otro;Ampliar conocimientos;"Recursos adicionales;Foros de discusión;Tutores disponibles;";Maestría
5;31/10/24 20:41;31/10/24 20:44;anonymous;;4 (de acuerdo);5 (Totalmente de acuerdo);3 (Ni de acuerdo ni en desacuerdo);5 (Totalmente de acuerdo);4 (de acuerdo);3 (Ni de acuerdo ni en desacuerdo);3 (Ni de acuerdo ni en desacuerdo);Operaciones;Aplicar Machine Learning a proyecto personal;;"Tutores disponibles;Recursos adicionales;Foros de discusión;";Maestría
6;31/10/24 20:41;31/10/24 22:18;anonymous;;2 (En desacuerdo);5 (Totalmente de acuerdo);3 (Ni de acuerdo ni en desacuerdo);5 (Totalmente de acuerdo);5 (Totalmente de acuerdo);5 (Totalmente de acuerdo);2 (En desacuerdo);Estoy interesado solo especializarme en marketing ;Mejorar habilidades en su trabajo actual;;"Recursos adicionales;Tutores disponibles;Foros de discusión;";Técnico/tecnólogo
8;1/11/24 6:53;1/11/24 6:56;anonymous;;4 (de acuerdo);5 (Totalmente de acuerdo);5 (Totalmente de acuerdo);5 (Totalmente de acuerdo);5 (Totalmente de acuerdo);5 (Totalmente de acuerdo);5 (Totalmente de acuerdo);Supply Chain;Mejorar habilidades en su trabajo actual;;"Tutores disponibles;Recursos adicionales;Foros de discusión;";Maestría
9;1/11/24 6:59;1/11/24 7:01;anonymous;;4 (de acuerdo);3 (Ni de acuerdo ni en desacuerdo);4 (de acuerdo);4 (de acuerdo);5 (Totalmente de acuerdo);4 (de acuerdo);5 (Totalmente de acuerdo);Ingeniería ;Aplicar Machine Learning a proyecto personal;;"Recursos adicionales;Tutores disponibles;Foros de discusión;";Maestría
10;1/11/24 7:05;1/11/24 7:07;anonymous;;3 (Ni de acuerdo ni en desacuerdo);3 (Ni de acuerdo ni en desacuerdo);5 (Totalmente de acuerdo);3 (Ni de acuerdo ni en desacuerdo);5 (Totalmente de acuerdo);3 (Ni de acuerdo ni en desacuerdo);2 (En desacuerdo);Educación y aprendizaje ;Otro;Mejorar habilidades de manejo de sistemas en general ;"Tutores disponibles;Recursos adicionales;Foros de discusión;";Maestría
11;1/11/24 7:11;1/11/24 7:13;anonymous;;2 (En desacuerdo);4 (de acuerdo);5 (Totalmente de acuerdo);4 (de acuerdo);3 (Ni de acuerdo ni en desacuerdo);4 (de acuerdo);5 (Totalmente de acuerdo);Servicio al cliente ;Mejorar habilidades en su trabajo actual;;"Tutores disponibles;Foros de discusión;Recursos adicionales;";Profesional
